file_name,chunk_id,text
"Bharatiya Sakshya Adhiniyam, 2023.pdf",0,"THE BHARATIYASAKSHYAADHINIYAM, 2023 NO. 47 OF 2023 [25th December, 2023.] An Act to consolidateand to provide for generalrules and principlesofevidence for fair trial. BE it enacted by Parliament in the Seventy-fourth Year of the Republic of India as follows:— PART I CHAPTERI PRELIMINARY 1. (1) ThisAct maybe called the Bharatiya Sakshya Adhiniyam, 2023. (2) It applies toall judicial proceedings in or before anyCourt, includingCourts-martial, but not toaffidavits presented to anyCourt or officer, nor to proceedings before an arbitrator. Short title, application and commencement. vlk/kkj.k EXTRAORDINARY Hkkx II — [k.M 1 PART II — Section 1 izkf/kdkj ls izdkf'kr PUBLISHED BY AUTHORITY lañ 55] ubZ fnYyh] lkseokj] fnlEcj 25] 2023@ikS""k 4] 1945 ¼'kd½ No. 55] NEW DELHI, MONDAY, DECEMBER 25, 2023/PAUSHA 4, 1945 (SAKA) bl Hkkx esa fHkUu i`""B la[;k nh tkrh gS ftlls fd ;g vyx ladyu ds :i esa j[kk tk ldsA Separate paging is given to this Part in order that it may be filed as a separate compilation"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",1,". xxxGIDHxxx xxxGIDExxx jftLVªh lañ Mhñ ,yñ—(,u)04@0007@2003—23 REGISTERED NO. DL—(N)04/0007/2003—23 MINISTRY OF LAWAND JUSTICE (Legislative Department) New Delhi, the 25th December, 2023/Pausha 4, 1945 (Saka) The following Act of Parliament received the assent of the President on the 25th December, 2023 and is hereby published for general information:— सी.जी.-डी.एल.-अ.-25122023-250882 CG-DL-E-25122023-250882 (3) It shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint. 2"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",2,". (1) In this Adhiniyam, unless the context otherwise requires,— (a) ""Court"" includes all Judges and Magistrates, and all persons, except arbitrators, legally authorised to take evidence; (b) ""conclusive proof"" means when one fact is declared by this Adhiniyam to be conclusive proof of another, the Court shall, on proof of the one fact, regard the other as proved, and shall not allow evidence to be given for the purpose of disproving it; (c) ""disproved"" in relation to a fact, means when, after considering the matters before it, the Court either believes that it does not exist, or considers its non-existence so probable that a prudent man ought, under the circumstances of the particular case, to act upon the supposition that it does not exist; (d) ""document"" means any matter expressed or described or otherwise recorded upon any substance by means of letters, figures or marks or any other means or by more than one of those means, intended to be used, or which may be used, for the purpose"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",3,"or by more than one of those means, intended to be used, or which may be used, for the purpose of recording that matter and includes electronic and digital records"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",4,". Illustrations. (i)A writing is a document. (ii) Words printed, lithographed or photographed are documents. (iii) A map or plan is a document. (iv) An inscription on a metal plate or stone is a document. (v) Acaricature is a document"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",5,". (iv) An inscription on a metal plate or stone is a document. (v) Acaricature is a document. (vi)An electronic record on emails, server logs, documents on computers, laptop or smartphone, messages, websites, locational evidence and voice mail messages stored on digital devices are documents; (e) ""evidence"" means and includes— (i) all statements including statements given electronically which the Court permits or requires to be made before it by witnesses in relation to matters of fact under inquiry and such statements are called oral evidence; (ii) all documents including electronic or digital records produced for the inspection of the Court and such documents are called documentary evidence; (f) ""fact"" means and includes— (i) any thing, state of things, or relation of things, capable of being perceived by the senses; (ii) any mental condition of which any person is conscious. Illustrations. (i) That there are certain objects arranged in a certain order in a certain place, is a fact"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",6,". (i) That there are certain objects arranged in a certain order in a certain place, is a fact. (ii) That a person heard or saw something, is a fact. (iii) That a person said certain words, is a fact. Definitions"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",7,". (iii) That a person said certain words, is a fact. Definitions. 2 THE GAZETTE OF INDIA EXTRAORDINARY [Part II— _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ (iv) That a person holds a certain opinion, has a certain intention, acts in good faith, or fraudulently, or uses a particular word in a particular sense, or is or was at a specified time conscious of a particular sensation, is a fact; (g) ""facts in issue"" means and includes any fact from which, either by itself or in connection with other facts, the existence, non-existence, nature or extent of any right, liability or disability, asserted or denied in any suit or proceeding, necessarily follows. Explanation"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",8,". Explanation.—Whenever, under the provisions of the law for the time being in force relating to civil procedure, any Court records an issue of fact, the fact to be asserted or denied in the answer to such issue is a fact in issue. Illustrations. A is accused of the murder of B. At his trial, the following facts may be in issue:— (i) That A caused B's death. (ii) That A intended to cause B's death. (iii) That A had received grave and sudden provocation from B. (iv) ThatA, at the time of doing the act which caused B's death, was, by reason of unsoundness of mind, incapable of knowing its nature; (h) ""may presume"".—Whenever it is provided by thisAdhiniyam that the Court may presume a fact, it may either regard such fact as proved, unless and until it is disproved or may call for proof of it; (i) ""not proved"".—A fact is said to be not proved when it is neither proved nor disproved; (j) ""proved"""
"Bharatiya Sakshya Adhiniyam, 2023.pdf",9,".—A fact is said to be not proved when it is neither proved nor disproved; (j) ""proved"".—A fact is said to be proved when, after considering the matters before it, the Court either believes it to exist, or considers its existence so probable that a prudent man ought, under the circumstances of the particular case, to act upon the supposition that it exists; (k) ""relevant"".—A fact is said to be relevant to another when it is connected with the other in any of the ways referred to in the provisions of this Adhiniyam relating to the relevancy of facts; (l) ""shall presume"".—Whenever it is directed by this Adhiniyam that the Court shall presume a fact, it shall regard such fact as proved, unless and until it is disproved. (2) Words and expressions used herein and not defined but defined in the Information Technology Act, 2000, the Bharatiya Nagarik Suraksha Sanhita, 2023 and the Bharatiya Nyaya Sanhita, 2023 shall have the same meanings as assigned to them in the said Act and Sanhitas"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",10,". PART II CHAPTER II RELEVANCY OF FACTS 3. Evidence may be given in any suit or proceeding of the existence or non-existence of every fact in issue and of such other facts as are hereinafter declared to be relevant, and of no others. Explanation.—This section shall not enable any person to give evidence of a fact which he is disentitled to prove by any provision of the law for the time being in force relating to civil procedure. Evidence may be given of facts in issue and relevant facts. 21 of 2000. Sec. 1] THE GAZETTE OF INDIA EXTRAORDINARY 3 _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ Illustrations"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",11,". (a) A is tried for the murder of B by beating him with a club with the intention of causing his death. At A's trial the following facts are in issue:— A's beating B with the club; A's causing B's death by such beating; A's intention to cause B's death. (b) A suitor does not bring with him, and have in readiness for production at the first hearing of the case, a bond on which he relies. This section does not enable him to produce the bond or prove its contents at a subsequent stage of the proceedings, otherwise than in accordance with the conditions prescribed by the Code of Civil Procedure, 1908. Closely connected facts 4. Facts which, though not in issue, are so connected with a fact in issue or a relevant fact as to form part of the same transaction, are relevant, whether they occurred at the same time and place or at different times and places. Illustrations. (a) A is accused of the murder of B by beating him"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",12,". Illustrations. (a) A is accused of the murder of B by beating him. Whatever was said or done by A or B or the bystanders at the beating, or so shortly before or after it as to form part of the transaction, is a relevant fact. (b) A is accused of waging war against the Government of India by taking part in an armed insurrection in which property is destroyed, troops are attacked and jails are broken open. The occurrence of these facts is relevant, as forming part of the general transaction, though A may not have been present at all of them. (c) A sues B for a libel contained in a letter forming part of a correspondence. Letters between the parties relating to the subject out of which the libel arose, and forming part of the correspondence in which it is contained, are relevant facts, though they do not contain the libel itself. (d) The question is, whether certain goods ordered from B were delivered to A. The goods were delivered to several intermediate persons successively"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",13,". The goods were delivered to several intermediate persons successively. Each delivery is a relevant fact. 5. Facts which are the occasion, cause or effect, immediate or otherwise, of relevant facts, or facts in issue, or which constitute the state of things under which they happened, or which afforded an opportunity for their occurrence or transaction, are relevant. Illustrations. (a) The question is, whether A robbed B. The facts that, shortly before the robbery, B went to a fair with money in his possession, and that he showed it, or mentioned the fact that he had it, to third persons, are relevant. (b) The question is, whether A murdered B. Marks on the ground, produced by a struggle at or near the place where the murder was committed, are relevant facts. (c) The question is, whetherApoisoned B. The state of B's health before the symptoms ascribed to poison, and habits of B, known to A, which afforded an opportunity for the administration of poison, are relevant facts. 6"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",14,". 6. (1) Any fact is relevant which shows or constitutes a motive or preparation for any fact in issue or relevant fact. Relevancy of facts forming part of same transaction. Facts which are occasion, cause or effect of facts in issue or relevant facts. Motive, preparation and previous or subsequent conduct. 5 of 1908"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",15,". Motive, preparation and previous or subsequent conduct. 5 of 1908. 4 THE GAZETTE OF INDIA EXTRAORDINARY [Part II— _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ (2) The conduct of any party, or of any agent to any party, to any suit or proceeding, in reference to such suit or proceeding, or in reference to any fact in issue therein or relevant thereto, and the conduct of any person, an offence against whom is the subject of any proceeding, is relevant, if such conduct influences or is influenced by any fact in issue or relevant fact, and whether it was previous or subsequent thereto. Explanation 1"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",16,". Explanation 1.—The word ""conduct"" in this section does not include statements, unless those statements accompany and explain acts other than statements; but this explanation is not to affect the relevancy of statements under any other section of this Adhiniyam. Explanation 2.—When the conduct of any person is relevant, any statement made to him or in his presence and hearing, which affects such conduct, is relevant. Illustrations. (a) Ais tried for the murder of B. The facts thatAmurdered C, that B knew thatAhad murdered C, and that B had tried to extort money fromAby threatening to make his knowledge public, are relevant. (b) A sues B upon a bond for the payment of money. B denies the making of the bond. The fact that, at the time when the bond was alleged to be made, B required money for a particular purpose, is relevant. (c) A is tried for the murder of B by poison. The fact that, before the death of B, A procured poison similar to that which was administered to B, is relevant"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",17,". (d) The question is, whether a certain document is the will of A. The facts that, not long before, the date of the alleged will,Amade inquiry into matters to which the provisions of the alleged will relate; that he consulted advocates in reference to making the will, and that he caused drafts of other wills to be prepared, of which he did not approve, are relevant. (e) A is accused of a crime. The facts that, either before, or at the time of, or after the alleged crime, A provided evidence which would tend to give to the facts of the case an appearance favourable to himself, or that he destroyed or concealed evidence, or prevented the presence or procured the absence of persons who might have been witnesses, or suborned persons to give false evidence respecting it, are relevant. (f) The question is, whetherArobbed B"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",18,". (f) The question is, whetherArobbed B. The facts that, after B was robbed, C said in A's presence—""the police are coming to look for the person who robbed B"", and that immediately afterwardsAran away, are relevant. (g) The question is, whether A owes B ten thousand rupees. The facts that A asked C to lend him money, and that D said to C in A's presence and hearing—""I advise you not to trust A, for he owes B ten thousand rupees"", and that A went away without making any answer, are relevant facts. (h) The question is, whether A committed a crime. The fact that A absconded, after receiving a letter, warning A that inquiry was being made for the criminal, and the contents of the letter, are relevant. (i) A is accused of a crime. The facts that, after the commission of the alleged crime, A absconded, or was in possession of property or the proceeds of property acquired by the crime, or attempted to conceal things which were or might have been used in committing it, are relevant"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",19,". (j) The question is, whetherAwas raped. The fact that, shortly after the alleged rape, A made a complaint relating to the crime, the circumstances under which, and the terms in which, the complaint was made, are relevant. The fact that, without making a complaint, A said that A had been raped is not relevant as conduct under this section, though it may be relevant as a dying declaration under clause (a) of section 26, or as corroborative evidence under section 160. Sec. 1] THE GAZETTE OF INDIA EXTRAORDINARY 5 _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ (k) The question is, whether A was robbed"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",20,". The fact that, soon after the alleged robbery,Amade a complaint relating to the offence, the circumstances under which, and the terms in which, the complaint was made, are relevant. The fact that A said he had been robbed, without making any complaint, is not relevant, as conduct under this section, though it may be relevant as a dying declaration under clause (a) of section 26, or as corroborative evidence under section 160. 7. Facts necessary to explain or introduce a fact in issue or relevant fact, or which support or rebut an inference suggested by a fact in issue or a relevant fact, or which establish the identity of anything, or person whose identity, is relevant, or fix the time or place at which any fact in issue or relevant fact happened, or which show the relation of parties by whom any such fact was transacted, are relevant in so far as they are necessary for that purpose. Illustrations. (a) The question is, whether a given document is the will of A"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",21,". Illustrations. (a) The question is, whether a given document is the will of A. The state of A's property and of his family at the date of the alleged will may be relevant facts. (b) A sues B for a libel imputing disgraceful conduct to A; B affirms that the matter alleged to be libellous is true. The position and relations of the parties at the time when the libel was published may be relevant facts as introductory to the facts in issue. The particulars of a dispute betweenAand B about a matter unconnected with the alleged libel are irrelevant, though the fact that there was a dispute may be relevant if it affected the relations between A and B. (c) A is accused of a crime. The fact that, soon after the commission of the crime, A absconded from his house, is relevant under section 6, as conduct subsequent to and affected by facts in issue"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",22,". The fact that, at the time when he left home, A had sudden and urgent business at the place to which he went, is relevant, as tending to explain the fact that he left home suddenly. The details of the business on which he left are not relevant, except in so far as they are necessary to show that the business was sudden and urgent. (d) A sues B for inducing C to break a contract of service made by him with A. C, on leaving A's service, says to A—""I am leaving you because B has made me a better offer"". This statement is a relevant fact as explanatory of C's conduct, which is relevant as a fact in issue. (e) A, accused of theft, is seen to give the stolen property to B, who is seen to give it to A's wife. B says as he delivers it—""A says you are to hide this"". B's statement is relevant as explanatory of a fact which is part of the transaction. (f)Ais tried for a riot and is proved to have marched at the head of a mob"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",23,". (f)Ais tried for a riot and is proved to have marched at the head of a mob. The cries of the mob are relevant as explanatory of the nature of the transaction. 8. Where there is reasonable ground to believe that two or more persons have conspired together to commit an offence or an actionable wrong, anything said, done or written by any one of such persons in reference to their common intention, after the time when such intention was first entertained by any one of them, is a relevant fact as against each of the persons believed to be so conspiring, as well for the purpose of proving the existence of the conspiracy as for the purpose of showing that any such person was a party to it. Illustration. Reasonable ground exists for believing thatAhas joined in a conspiracy to wage war against the State"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",24,". The facts that B procured arms in Europe for the purpose of the conspiracy, C collected money in Kolkata for a like object, D persuaded persons to join the conspiracy in Mumbai, E published writings advocating the object in view atAgra, and F transmitted from Delhi to Facts necessary to explain or introduce fact in issue or relevant facts. Things said or done by conspirator in reference to common design"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",25,". Things said or done by conspirator in reference to common design. 6 THE GAZETTE OF INDIA EXTRAORDINARY [Part II— _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ G at Singapore the money which C had collected at Kolkata, and the contents of a letter written by H giving an account of the conspiracy, are each relevant, both to prove the existence of the conspiracy, and to prove A's complicity in it, although he may have been ignorant of all of them, and although the persons by whom they were done were strangers to him, and although they may have taken place before he joined the conspiracy or after he left it. 9"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",26,". 9. Facts not otherwise relevant are relevant— (1) if they are inconsistent with any fact in issue or relevant fact; (2) if by themselves or in connection with other facts they make the existence or non-existence of any fact in issue or relevant fact highly probable or improbable. Illustrations. (a) The question is, whether A committed a crime at Chennai on a certain day. The fact that, on that day, A was at Ladakh is relevant. The fact that, near the time when the crime was committed, A was at a distance from the place where it was committed, which would render it highly improbable, though not impossible, that he committed it, is relevant. (b) The question is, whether A committed a crime. The circumstances are such that the crime must have been committed either by A, B, C or D. Every fact which shows that the crime could have been committed by no one else, and that it was not committed by either B, C or D, is relevant. 10"
